Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total
1603052100000.00,-46.63,-35.21444444,-21.23666667,-103.0811111
1603053000000.00,-46.53333333,-34.91777778,-21.08555556,-102.5366667
1603053900000.00,-46.63666667,-35.32666667,-21.18777778,-103.1511111
1603054800000.00,-46.68555556,-35.22111111,-21.36444444,-103.2711111
1603055700000.00,-46.67555556,-35.28888889,-21.30777778,-103.2722222
1603056600000.00,-50.29333333,-35.03666667,-17.91777778,-103.2477778
1603057500000.00,-49.19222222,-35.43,-19.29444444,-103.9166667
1603058400000.00,-48.70444444,-35.36666667,-19.97555556,-104.0466667
1603059300000.00,-47.48,-35.28555556,-21.40444444,-104.17
1603060200000.00,-47.34,-35.51777778,-21.48666667,-104.3444444
1603061100000.00,-56.31777778,-35.04888889,-12.73111111,-104.0977778
1603062000000.00,-61.87888889,-32.64222222,4.841111111,-89.68
1603062900000.00,-53.16777778,-33.84444444,-7.868888889,-94.88111111
1603063800000.00,-47.43444444,-35.01555556,-21.00222222,-103.4522222
1603064700000.00,-46.61777778,-35.05,-21.29888889,-102.9666667
1603065600000.00,-47.18218085,-34.84840426,-20.25797872,-102.2885638
1603066500000.00,-46.76888889,-35.38777778,-21.11888889,-103.2755556
1603067400000.00,-46.59777778,-35.12,-21.35222222,-103.07
1603068300000.00,-47.77111111,-35.29111111,-20.78111111,-103.8433333
1603069200000.00,-46.61555556,-35.19333333,-21.47333333,-103.2822222
1603070100000.00,-47.53555556,-35.37111111,-20.57666667,-103.4833333
1603071000000.00,-46.60777778,-35.00777778,-21.34888889,-102.9644444
1603071900000.00,-46.66,-35.33444444,-21.23,-103.2244444
1603072800000.00,-47.47777778,-34.97888889,-20.34555556,-102.8022222
1603073700000.00,-46.58888889,-34.72888889,-21.12,-102.4377778
1603074600000.00,-46.29888889,-34.72222222,-20.76222222,-101.7833333
1603075500000.00,-46.27555556,-34.84666667,-20.84888889,-101.9711111
1603076400000.00,-48.02888889,-35.18777778,-20.39111111,-103.6077778
1603077300000.00,-46.59111111,-35.05666667,-21.09888889,-102.7466667
1603078200000.00,-47.48333333,-34.33333333,-20.37888889,-102.1955556
1603079100000.00,-46.50333333,-34.31555556,-20.97555556,-101.7944444
1603080000000.00,-47.03333333,-34.83,-21.13222222,-102.9955556
1603080900000.00,-47.12111111,-34.89444444,-21.28,-103.2955556
1603081800000.00,-47.34,-35.09,-20.68555556,-103.1155556
1603082700000.00,-47.49666667,-35.43222222,-21.32,-104.2488889
1603083600000.00,-48.85444444,-35.05444444,-20.06555556,-103.9744444
1603084500000.00,-46.96333333,-35.04111111,-21.05,-103.0544444
